id,location_id,title,location,start_date,start_time,end_date,end_time
16093,19,Premio Pietro Torta,"Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-13,10:00,2021-11-13,10:00
16092,19,"Un incontro fra Listz e Dante, Petrarca, Beethoven ","Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-12,17:00,2021-11-12,17:00
16091,19,Due dantisti dell'Ottocento: ,"Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-11,16:30,2021-11-11,16:30
16090,19,Fuoricampo veneziano,"Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-10,16:30,2021-11-10,16:30
16089,19,SINERGIE. Incontri di musica e filosofia ,"Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-09,16:30,2021-11-09,16:30
16088,200,Avvento in Musica 2021,Chiesa di San Trovaso,2021-11-28,15:00,2021-12-19,15:00
16087,19,Se Venezia vive ,"Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-07,10:00,2021-11-07,16:00
16086,355,Camouflage in the landscape ,Palazzo Trevisan degli Ulivi,2021-11-20,13:30,2021-11-20,13:30
16085,33,Incroci di Idee,Teatro La Fenice,2021-11-12,17:30,2021-11-12,17:30
16084,201,Altino in laguna,Biblioteca Nazionale Marciana,2021-11-11,15:30,2021-11-11,15:30
16083,15,Incroci di Civiltà ,Fondazione Querini Stampalia,2021-11-06,9:00,2021-11-06,11:00
16082,15,Corso con Bernard Friot  ,Fondazione Querini Stampalia,2021-11-06,23:00,2021-11-06,23:00
16077,"282, 1511",Grand Tour con ECAL,"Teatrino di Palazzo Grassi, Punta della Dogana",2021-11-18,23:00,2021-11-20,23:00
16076,282,Archipel Luigi Nono ,Teatrino di Palazzo Grassi,2021-11-16,17:00,2021-11-16,17:00
16075,282,Casa delle Parole ,Teatrino di Palazzo Grassi,2021-11-09,17:00,2021-11-09,17:00
16074,282,Dante in lingua francese: 700 anni di traduzione ,Teatrino di Palazzo Grassi,2021-11-08,17:00,2021-11-08,17:00
16073,2,Poetiche del gesto musicale: l’invito alla danza di Giuseppe Albanese,"Conservatorio di Musica ""Benedetto Marcello""",2021-11-08,9:00,2021-11-08,9:00
16072,2,Concerto e premiazione dei vincitori ,"Conservatorio di Musica ""Benedetto Marcello""",2021-11-08,17:00,2021-11-08,17:00
16071,364,Batistococo ,Al Vapore,2021-11-07,19:00,2021-11-07,19:00
16070,364,Matteo Sansonetto ,Al Vapore,2021-11-06,18:15,2021-11-06,20:00
16069,364,Stefano Volpato ,Al Vapore,2021-11-05,18:15,2021-11-05,20:00
16068,364,Max Prandi ,Al Vapore,2021-11-04,18:15,2021-11-04,20:00
16067,143,Grandi navigatori veneziani ,Centro Culturale Candiani,2021-11-05,16:30,2021-11-05,16:30
16066,201,La lettura come conforto,Biblioteca Nazionale Marciana,2021-11-04,15:00,2021-11-04,15:00
16065,"1459, 6620",Venezia Jazz Festival Fall edition ,"Splendid Venice Hotel, Laguna Libre",2021-11-04,18:00,2021-11-05,17:15
16064,231,La nuova sintesi di armonia e contrappunto,Palazzo Grimani,2021-11-07,15:00,2021-11-07,15:00
16063,11,Bricola e Regina ,Teatro a l'Avogaria,2021-11-06,20:00,2021-11-06,20:00
16062,19,La dea stanca. Vita di Lina Bo Bardi ,"Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-04,17:00,2021-11-04,17:00
16061,139,Venezia Jazz Festival,Teatro Toniolo,2021-11-02,20:00,2021-11-02,20:00
16060,19,Corso di Storia dell'Arte 2021,"Ateneo Veneto di Scienze, Lettere ed Arti",2021-11-03,16:30,2021-11-03,16:30
16059,282,Venezia Jazz Festival,Teatrino di Palazzo Grassi,2021-11-01,18:30,2021-11-01,18:30
16058,2703,November Talks 2021,IUAV Palazzo Badoer,2021-11-02,16:00,2021-11-30,16:00
16056,2,Estro poetico-armonico,"Conservatorio di Musica ""Benedetto Marcello""",2021-10-29,15:00,2021-10-29,15:00
16055,139,È sempre una bella stagione,Teatro Toniolo,2021-12-15,15:30,2022-04-22,19:00
16054,"6620, 282, 33, 139",Venezia Jazz Festival Fall Edition,"Laguna Libre, Teatrino di Palazzo Grassi, Teatro La Fenice, Teatro Toniolo",2021-10-29,16:15,2021-11-02,20:00
