Numero di iscrizione all'albo,Denominazione,Data iscrizione,Numero delibera,Data cessazione,Municipalità,Attività,Scopo / intenti,Indirizzo,Email,Sito web,Presidente,Data domanda,Protocollo domanda,Telefono,Fiscale codice,Iva partita
Registered number,Name,Registration / resolution date,Resolution number,End date,Municipalities,Activities,Purpose / intent,Street address,E-mail,Website,President,Application date,Application protocol,Phone number,Tax code,VAT number
1,SOCIETÀ SPORTIVA REYER,06-10-92,,15-05-17,MESTRE CARPENEDO,Sport,,,,,,,,,,
2,CENTRO MUSICA BURANO,06-10-92,,,VENEZIA MURANO BURANO,Cultura,,,,,,,,,,
3,SOCIETÀ DI MUTUO SOCCORSO  CARPENTIERI E CALAFATI,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Diffusione della cultura musicale,San Martino Sinistra 4 30142 - Burano - Venezia,,,Mauro  Molin,08-02-92,PG/1992/16225,,94017750277,0
4,COMPAGNIA TEATRALE SPERIMENTALE DI PELLESTRINA,06-10-92,168,,LIDO PELLESTRINA,Cultura,"Provvedere ai bisogni di malattie, invalidità al lavoro e disoccupazione",Castello-450 30122 - Venezia,smscc@smscc.it,www.smscc.it,Peris Cesare,08-02-92,PG/1992/16219,415286813,80007680277,0
5,A.M.A. - ARCHEOLOGY AND MUSEUM ASSOCIATION,06-10-92,168,,VENEZIA MURANO BURANO,Cultura,Promuovere attività teatrale,Sestiere Busetti 186/A 30126 - Pellestrina - Venezia,,,Vianello Teresino,08-02-92,PG/1992/16344,415277025,94012470277,0
6,GRUPPO AUTOGESTITO ANZIANI LIDO DENOMINATO G.A.A.L.,06-10-92,168,,LIDO PELLESTRINA,Solidarietà / Promozione sociale,"Promuovere e organizzare convegni, mostre, dibattiti relativi a pittura, scultura",San Polo 2165 30125 - Venezia,,,Gorini Giovanni,08-02-92,PG/1992/16373,,94019080277,2996170276
7,COMITATO FORTE GAZZERA,06-10-92,168,,CHIRIGNAGO ZELARINO,Tutela dell'ambiente,Combattere le forme di emarginazione- curare attività ricreative e culturali,Via Sandro Gallo 5 c/o C.D.Q. 30126 - Lido - Venezia,,,Sartori Sergio,08-02-92,PG/1992/16423,415268048,94007200275,
8,SOCIETÀ COOPERATIVA A.R.L. PASSAPORTO D'ORO,06-10-92,168,13-10-08,CHIRIGNAGO ZELARINO,Cultura,"Far conoscere la storia, le caratteristiche architettoniche e culturali",Via Brendole 109 30174 - Mestre - Venezia,grazianofusati@virgilio.it,www.fortegazzera.it,Basso  Annamaria,07-02-92,PG/1992/15923,41910021,90019870279,
9,GRUPPO SPORTIVO VIGILI URBANI,06-10-92,,,VENEZIA MURANO BURANO,Sport,,,,,,,,,,
10,ASSOCIAZIONE SPORTIVA DILETTANISTICA VENICEMARATHON CLUB,06-10-92,168,,MESTRE CARPENEDO,Sport,Promuovere la diffusione e la pratica dello sport,Giudecca 543 L c/o Sez. P.M. 30133 - Venezia,pm.gruppo.sportivo@comune.venezia.it,,Fuolega Alessandro,08-02-92,PG/1992/16404,3401790601,94004400274,
11,CONSOLATO PROVINCIALE DI VENEZIA DELLA FEDERAZIONEDEI MAESTRI DEL LAVORO D'ITALIA,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Organizzare gare e manifestazioni sportive,Via Linghindal 5/5 30172 - Mestre - Venezia,info@venicemarathon.it,www.venicemarathon.it,Piero Rosa Salva,06-02-92,PG/1992/15331,415321871,2539570271,2539570271
12,CANOTTIERI FRANCESCO QUERINI,06-10-92,168,,VENEZIA MURANO BURANO,Sport,Promuovere negli ambienti di lavoro il valore morale dei maestri del lavoro,Via Brenta Vecchia 41 30172 - Mestre - Venezia,venezia@maestrilavoro.it,www.maestrilavoro.it,Vido Dobrillo,07-02-92,PG/1992/15913,41975112,90034560277,0
13,"GRUPPO ANZIANI AUTOGESTITO DI BURANO ""LO STARE INSIEME""",06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,canottaggio,Castello 6576 B 30122 - Venezia,info@canottieriquerini.it,www.canottieriquerini.it,Sesani Guido,,PG/0/0,415222039,0,0
14,SOCIETÀ EL TODARO BENEFICO,06-10-92,168,,VENEZIA MURANO BURANO,Solidarietà / Promozione sociale,Combattere le forme di emarginazione ed isolamento attraverso attività ricreative e culturali,San Mauro 372 c/o Centro Soc. 30142 - Burano - Venezia,,,Dei Rossi Francesco,07-02-92,PG/1992/15696,,94008510276,
15,ASSOCIAZIONE INTERNAZIONALE DI MESOTERAPIA E CONTE,06-10-92,168,10-02-03,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Effettuare opere di beneficenza e carità,San Marco Calle delle Muneghe 2988 30124 - Venezia,,,Boschian Sergio,05-02-92,PG/1992/14790,415234866,94001720278,
16,ASSOCIAZIONE OFFERTA MUSICALE,06-10-92,,,VENEZIA MURANO BURANO,Cultura,,,,,,,,,,
17,MOVIMENTO CONSUMATORI VENETO,06-10-92,168,,MESTRE CARPENEDO,Solidarietà / Promozione sociale,Promuovere e diffondere un repertorio di musica classica,San Polo 1541 30125 - Venezia,,,Parravicini Riccardo,05-02-92,PG/1992/14801,415241143,2506980271,2506980271
18,A.S.D. CALCIO MARGHERA,06-10-92,168,,MARGHERA,Sport,"Difesa della salute, sicurezza e salvaguardia dellambiente",Viale Venezia 7 30171 - Mestre - Venezia,movimentodeiconsumatori@virgilio.it,,Labbro Francia Giulio,13-02-92,PG/1992/18245,41938092,90004750270,
